file,sample,iteration,method,KT,KT_gen,s_qualityGT,s_qualityRel,s_qualityAbs,jaccard,num_node,num_edges,node_coverage
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,1405,1,degree,0.06148252658997178,-0.13954431610439674,2.188846849705895e-05,0.0037083930201615633,1.589661004212929e-05,0.021613954166023828,400,14049,0.68
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,1405,1,closeness,0.4350824587706147,0.18318370096336978,2.188846849705895e-05,0.0010347591492667339,2.6228744955141594e-05,0.026564795551412782,400,14049,0.29
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,1405,1,betweeness,0.17503647859922178,0.18326720412250613,2.188846849705895e-05,0.0036874865383580493,1.6086159787258428e-05,0.021472511202359226,400,14049,0.6425
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,1405,1,rmc,0.1623565456717038,0.19898662429853192,2.188846849705895e-05,0.005393237616404035,1.1956988293683912e-05,0.018670052989668878,400,14049,0.9825
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,1405,1,random,0.15522358102392794,0.24893467811053926,2.188846849705895e-05,0.0045956439602956155,1.1649233762523098e-05,0.022673499608530493,400,14049,0.935
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,1405,1,spectral,0.15278433550895706,0.3312303264945198,2.188846849705895e-05,0.005050580906134978,1.180087767445221e-05,0.019399829083612326,400,14049,0.95
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,2810,2,degree,0.18932979429329796,-0.05270557824932763,2.188846849705895e-05,0.0005278448776523907,1.1115878353606118e-05,0.048370475161628484,400,14049,0.6875
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,2810,2,closeness,0.593009962436714,0.4114025860802163,2.188846849705895e-05,0.0007227677952813695,2.7363042729052564e-05,0.05152470788023211,400,14049,0.3925
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,2810,2,betweeness,0.23985966935793926,0.00949758460759109,2.188846849705895e-05,0.0006384079397443507,1.0904061915177588e-05,0.046135381886734855,400,14049,0.7225
progressive/synthetic_graphs/hybrid_union_WS_SBM_N400_E14049,2810,2,rmc,0.0841920464086711,0.23456425870119374,2.188846849705895e-05,0.0007222720610768676,7.761591566831635e-06,0.04079312853459846,400,14049,0.9925
