file,sample,iteration,method,KT,KT_gen,s_qualityGT,s_qualityRel,s_qualityAbs,jaccard,num_node,num_edges,node_coverage,topology
balanced_tree_N121_E120,12,1,degree,0.2307692307692307,0.0,0.3816964285714285,4.0,0.1,0.0052083333333333,121,120,0.1074380165289256,balanced_tree
balanced_tree_N121_E120,12,1,closeness,1.0,1.0,0.3816964285714285,3.0,3.0,0.125,121,120,0.1322314049586777,balanced_tree
balanced_tree_N121_E120,12,1,betweeness,0.2307692307692307,0.0,0.3816964285714285,4.0,0.1,0.0052083333333333,121,120,0.1074380165289256,balanced_tree
balanced_tree_N121_E120,12,1,rmc,1.0,1.0,0.3816964285714285,3.0,3.0,0.125,121,120,0.1322314049586777,balanced_tree
balanced_tree_N121_E120,12,1,random,0.9999999999999998,1.0,0.3816964285714285,4.0,4.0,0.0703125,121,120,0.1074380165289256,balanced_tree
balanced_tree_N121_E120,12,1,spectral,1.0,1.0,0.3816964285714285,3.0,3.0,0.125,121,120,0.1322314049586777,balanced_tree
balanced_tree_N121_E120,24,2,degree,0.8533333333333332,1.0,0.3816964285714285,3.333333333333333,0.3511904761904762,0.1234375,121,120,0.2066115702479339,balanced_tree
balanced_tree_N121_E120,24,2,closeness,1.0,1.0,0.3816964285714285,3.0,3.0,0.25,121,120,0.2644628099173554,balanced_tree
balanced_tree_N121_E120,24,2,betweeness,0.8533333333333332,1.0,0.3816964285714285,3.333333333333333,0.3511904761904762,0.1234375,121,120,0.2066115702479339,balanced_tree
balanced_tree_N121_E120,24,2,rmc,1.0,1.0,0.3816964285714285,3.0,3.0,0.25,121,120,0.2644628099173554,balanced_tree
balanced_tree_N121_E120,24,2,random,0.7339901477832511,1.0,0.3816964285714285,3.2857142857142856,0.7410714285714286,0.1763392857142857,121,120,0.2396694214876033,balanced_tree
balanced_tree_N121_E120,24,2,spectral,1.0,1.0,0.3816964285714285,3.0,3.0,0.25,121,120,0.2644628099173554,balanced_tree
balanced_tree_N121_E120,36,3,degree,0.957957957957958,1.0,0.3816964285714285,0.7430555555555556,0.7430555555555556,0.265625,121,120,0.3057851239669421,balanced_tree
balanced_tree_N121_E120,36,3,closeness,1.0,1.0,0.3816964285714285,3.0,3.0,0.375,121,120,0.396694214876033,balanced_tree
balanced_tree_N121_E120,36,3,betweeness,0.957957957957958,1.0,0.3816964285714285,0.7430555555555556,0.7430555555555556,0.265625,121,120,0.3057851239669421,balanced_tree
balanced_tree_N121_E120,36,3,rmc,1.0,1.0,0.3816964285714285,3.0,3.0,0.375,121,120,0.396694214876033,balanced_tree
balanced_tree_N121_E120,36,3,random,0.5465465465465466,1.0,0.3816964285714285,0.7152777777777778,0.0804093567251462,0.1383928571428571,121,120,0.3057851239669421,balanced_tree
balanced_tree_N121_E120,36,3,spectral,1.0,1.0,0.3816964285714285,3.333333333333333,3.333333333333333,0.2578125,121,120,0.3223140495867768,balanced_tree
balanced_tree_N121_E120,48,4,degree,0.8726530612244898,1.0,0.3816964285714285,0.7447916666666666,0.2479166666666666,0.3177083333333333,121,120,0.4132231404958678,balanced_tree
balanced_tree_N121_E120,48,4,closeness,1.0,1.0,0.3816964285714285,3.0,3.0,0.5,121,120,0.5289256198347108,balanced_tree
balanced_tree_N121_E120,48,4,betweeness,0.8726530612244898,1.0,0.3816964285714285,0.7447916666666666,0.2479166666666666,0.3177083333333333,121,120,0.4132231404958678,balanced_tree
balanced_tree_N121_E120,48,4,rmc,1.0,1.0,0.3816964285714285,3.0,3.0,0.5,121,120,0.5289256198347108,balanced_tree
balanced_tree_N121_E120,48,4,random,0.9274047186932848,1.0,0.3816964285714285,3.071428571428572,3.071428571428572,0.4341517857142857,121,120,0.4793388429752066,balanced_tree
balanced_tree_N121_E120,48,4,spectral,0.9030612244897958,1.0,0.3816964285714285,0.765625,0.25625,0.3415178571428571,121,120,0.4049586776859504,balanced_tree
balanced_tree_N121_E120,60,5,degree,0.9312533051295612,1.0,0.3816964285714285,0.7458333333333333,0.2583333333333333,0.4114583333333333,121,120,0.512396694214876,balanced_tree
balanced_tree_N121_E120,60,5,closeness,1.0,1.0,0.3816964285714285,3.0,3.0,0.625,121,120,0.6611570247933884,balanced_tree
balanced_tree_N121_E120,60,5,betweeness,0.9312533051295612,1.0,0.3816964285714285,0.7458333333333333,0.2583333333333333,0.4114583333333333,121,120,0.512396694214876,balanced_tree
balanced_tree_N121_E120,60,5,rmc,0.9378008145131432,1.0,0.3816964285714285,3.0,3.0,0.5625,121,120,0.6115702479338843,balanced_tree
balanced_tree_N121_E120,60,5,random,0.9789288849868304,1.0,0.3816964285714285,3.0625,3.0625,0.4966517857142857,121,120,0.5619834710743802,balanced_tree
balanced_tree_N121_E120,60,5,spectral,0.7628415300546447,1.0,0.3816964285714285,0.6796875,0.1060855263157894,0.3776041666666667,121,120,0.5041322314049587,balanced_tree
balanced_tree_N121_E120,72,6,degree,0.9637171417993337,1.0,0.3816964285714285,0.4007936507936507,0.4007936507936507,0.5546875,121,120,0.6115702479338843,balanced_tree
balanced_tree_N121_E120,72,6,closeness,0.9999999999999998,1.0,0.3816964285714285,3.0,3.0,0.75,121,120,0.7933884297520661,balanced_tree
balanced_tree_N121_E120,72,6,betweeness,0.9637171417993337,1.0,0.3816964285714285,0.4007936507936507,0.4007936507936507,0.5546875,121,120,0.6115702479338843,balanced_tree
balanced_tree_N121_E120,72,6,rmc,0.964035964035964,1.0,0.3816964285714285,3.111111111111111,3.111111111111111,0.5558035714285714,121,120,0.6446280991735537,balanced_tree
balanced_tree_N121_E120,72,6,random,0.9547119547119548,1.0,0.3816964285714285,0.7203947368421053,0.7203947368421053,0.59375,121,120,0.6446280991735537,balanced_tree
balanced_tree_N121_E120,72,6,spectral,0.8576864535768646,1.0,0.3816964285714285,0.6875,0.1118421052631579,0.4765625,121,120,0.6033057851239669,balanced_tree
balanced_tree_N121_E120,84,7,degree,0.9363806468858592,1.0,0.3816964285714285,0.4047619047619047,0.2690476190476191,0.65625,121,120,0.71900826446281,balanced_tree
balanced_tree_N121_E120,84,7,closeness,1.0,1.0,0.3816964285714285,3.0,3.0,0.84375,121,120,0.9008264462809916,balanced_tree
